longitude,latitude,time,chlorophyll,electrical conductivity,Low Frequency Water Depth(m),Dissolved Oxygen(% Sat),Dissolved oxygen(mg/L),Ammonia nitrogen,salinity,Phycotin,Total dissolved solids,turbidity,temperature,PH value,PH value(mv)
120.6805015,31.3167833,2021-12-03 10:20:23,4.14,362.76,2.579,53.66,5.83,0,0.24,984.14,316.85,9.83,11.606,7.84,-75.96
120.6805159,31.3167995,2021-12-03 10:20:25,3.79,362.92,2.609,71.17,7.73,0,0.24,991.36,316.95,9.85,11.612,7.84,-75.98
120.680535,31.3168127,2021-12-03 10:20:27,3.51,363.15,2.7,68.6,7.45,0,0.24,980.12,317.09,9.8,11.619,7.84,-76.01
120.6805574,31.3168219,2021-12-03 10:20:29,3.39,363.12,2.64,75.37,8.18,0,0.24,978.29,317.01,9.75,11.625,7.84,-76.05
120.6805817,31.3168279,2021-12-03 10:20:31,3.29,363.2,2.69,58.75,6.38,0,0.24,962.36,317.06,9.72,11.627,7.84,-76.08
120.6806068,31.3168311,2021-12-03 10:20:33,3.3,363.32,2.72,51.82,5.62,0,0.24,966.28,317.2,9.73,11.624,7.84,-76.12
120.6806326,31.3168322,2021-12-03 10:20:35,3.27,363.12,2.75,91.92,9.98,0,0.24,958.38,317.07,9.72,11.619,7.84,-76.18
120.6806522,31.3168319,2021-12-03 10:20:37,3.29,363.1,2.75,61.36,6.66,0,0.24,953,317.09,9.73,11.612,7.84,-76.23
120.6806742,31.3168303,2021-12-03 10:20:39,3.26,363.16,2.759,71.02,7.71,0,0.24,947.58,317.21,9.72,11.604,7.84,-76.26
120.6806997,31.3168287,2021-12-03 10:20:41,3.21,363.26,2.799,68.96,7.49,0,0.24,962.51,317.37,9.72,11.596,7.84,-76.29
120.680726,31.3168283,2021-12-03 10:20:43,3.18,363.28,2.819,81.83,8.89,0,0.24,953.86,317.42,9.72,11.591,7.85,-76.33
120.6807531,31.3168296,2021-12-03 10:20:45,3.2,363.58,2.859,67.02,7.28,0,0.24,958.17,317.71,9.72,11.589,7.85,-76.38
120.6807799,31.3168332,2021-12-03 10:20:47,3.12,363.87,2.9,54.81,5.96,0,0.24,954.77,317.98,9.71,11.587,7.85,-76.43
120.6808045,31.3168344,2021-12-03 10:20:49,3.13,364.1,2.88,59.32,6.44,0,0.24,951.84,318.19,9.71,11.585,7.85,-76.46
120.6808238,31.3168252,2021-12-03 10:20:51,3.13,364.41,2.91,43.03,4.68,0,0.24,951.79,318.48,9.71,11.584,7.85,-76.48
120.6808371,31.3168092,2021-12-03 10:20:53,3.08,364.47,2.91,56.2,6.11,0,0.24,946.52,318.54,9.7,11.581,7.85,-76.49
120.6808461,31.3167876,2021-12-03 10:20:55,3.03,364.6,2.95,73.26,7.96,0,0.24,933.43,318.69,9.7,11.577,7.85,-76.5
120.6808503,31.3167661,2021-12-03 10:20:57,3,364.24,2.94,57.71,6.27,0,0.24,932.13,318.41,9.69,11.574,7.85,-76.49
120.6808517,31.316744,2021-12-03 10:20:59,3.04,364.33,2.96,64.48,7.01,0,0.24,924.33,318.52,9.69,11.57,7.85,-76.46
120.6808517,31.3167217,2021-12-03 10:21:01,3.04,364.16,2.98,77.54,8.43,0,0.24,920.09,318.41,9.68,11.565,7.85,-76.47
120.6808514,31.3166963,2021-12-03 10:21:03,3.02,364.29,2.97,22.71,2.47,0,0.24,923.93,318.56,9.68,11.561,7.85,-76.45
120.6808548,31.3166674,2021-12-03 10:21:05,3.08,364.22,2.94,18.63,2.03,0,0.24,927.37,318.54,9.73,11.556,7.85,-76.44
120.6808649,31.3166389,2021-12-03 10:21:07,3.08,364.2,2.91,20.16,2.19,0,0.24,927.99,318.55,9.81,11.552,7.85,-76.41
120.6808796,31.3166118,2021-12-03 10:21:09,3.09,364.44,2.819,12.53,1.36,0,0.24,927.32,318.8,9.93,11.547,7.85,-76.38
120.6808975,31.316586,2021-12-03 10:21:11,3.06,364.23,2.7,39.52,4.3,0,0.24,920.58,318.65,10.06,11.543,7.85,-76.36
120.6809185,31.3165629,2021-12-03 10:21:13,3.03,364.29,2.549,28.42,3.09,0,0.24,931.4,318.72,10.18,11.541,7.85,-76.35
120.680943,31.3165413,2021-12-03 10:21:15,3.06,364.29,2.44,27.07,2.94,0,0.24,941.25,318.74,10.35,11.538,7.85,-76.34
120.6809685,31.3165209,2021-12-03 10:21:17,3.08,364.17,2.42,6.51,0.71,0,0.24,947.66,318.65,10.51,11.536,7.85,-76.33
120.680993,31.3165009,2021-12-03 10:21:19,3.07,364.16,2.299,22.36,2.43,0,0.24,950.72,318.68,10.62,11.533,7.85,-76.31
120.681018,31.3164799,2021-12-03 10:21:21,3.08,364.12,2.21,39.2,4.26,0,0.24,949.52,318.66,10.7,11.53,7.85,-76.3
120.6810436,31.3164603,2021-12-03 10:21:23,3.17,364.23,2.069,25.68,2.79,0,0.24,951.3,318.78,10.75,11.528,7.84,-76.28
120.681072,31.3164417,2021-12-03 10:21:25,3.14,363.94,2.079,26.01,2.83,0,0.24,947.44,318.54,10.78,11.526,7.84,-76.28
120.6810998,31.3164226,2021-12-03 10:21:27,3.14,364.52,2.18,14.61,1.59,0,0.24,949.39,319.05,10.85,11.525,7.84,-76.28
120.6811269,31.3164042,2021-12-03 10:21:29,3.12,364.26,2.289,29.19,3.18,0,0.24,952.41,318.83,10.91,11.525,7.84,-76.27
120.6811543,31.3163856,2021-12-03 10:21:31,3.04,364.29,2.46,21.03,2.29,0,0.24,938.87,318.83,10.97,11.527,7.84,-76.28
120.6811817,31.316367,2021-12-03 10:21:33,3.07,364.94,2.14,17.84,1.94,0,0.24,946.7,319.38,11.03,11.53,7.84,-76.28
120.6812088,31.316348,2021-12-03 10:21:35,2.96,364.44,2.349,27.86,3.03,0,0.24,933.25,318.91,11.06,11.534,7.84,-76.27
120.6812356,31.3163289,2021-12-03 10:21:37,2.97,364.63,2.2,34.68,3.77,0,0.24,924.55,319.04,11.12,11.539,7.84,-76.26
120.6812631,31.3163096,2021-12-03 10:21:39,2.86,364.86,2.16,25.03,2.72,0,0.24,925.8,319.17,11.18,11.547,7.84,-76.26
120.6812902,31.3162914,2021-12-03 10:21:41,2.84,364.43,2.119,6.39,0.69,0,0.24,928.85,318.72,11.2,11.556,7.84,-76.26
120.681318,31.3162733,2021-12-03 10:21:43,2.82,365.07,2.14,27.53,2.99,0,0.24,933.16,319.21,11.21,11.566,7.84,-76.27
120.6813469,31.3162555,2021-12-03 10:21:45,2.81,364.95,2.13,34.15,3.71,0,0.24,927.52,319.02,11.23,11.576,7.84,-76.29
120.6813759,31.316239,2021-12-03 10:21:47,2.69,364.75,2.13,38.89,4.22,0,0.24,922.47,318.74,11.28,11.588,7.85,-76.35
120.6814047,31.3162181,2021-12-03 10:21:49,2.74,365.14,2.099,17.89,1.94,0,0.24,922.09,318.99,11.33,11.599,7.85,-76.45
120.6814276,31.316196,2021-12-03 10:21:51,2.74,365.1,2.099,41.63,4.52,0,0.24,915.76,318.9,11.4,11.606,7.85,-76.59
120.6814475,31.3161723,2021-12-03 10:21:53,2.7,364.99,2.15,27.27,2.96,0,0.24,906.85,318.79,11.47,11.607,7.85,-76.74
120.6814655,31.3161476,2021-12-03 10:21:55,2.72,364.99,2.16,24.49,2.66,0,0.24,914.87,318.83,11.56,11.603,7.86,-76.89
120.6814827,31.3161222,2021-12-03 10:21:57,2.79,364.9,2.16,33.51,3.64,0,0.24,917.58,318.8,11.66,11.596,7.86,-77.02
120.6814986,31.3160966,2021-12-03 10:21:59,2.88,364.75,2.17,35.92,3.9,0,0.24,916.47,318.77,11.78,11.584,7.86,-77.14
120.6815133,31.3160704,2021-12-03 10:22:01,2.91,364.69,2.18,33.22,3.61,0,0.24,913.49,318.85,11.88,11.567,7.86,-77.26
120.6815284,31.3160443,2021-12-03 10:22:03,2.96,364.46,2.22,32.41,3.52,0,0.24,918.51,318.78,11.94,11.551,7.86,-77.37
120.681545,31.3160184,2021-12-03 10:22:05,3.07,364.39,2.2,11.94,1.3,0,0.24,934.69,318.85,11.98,11.535,7.87,-77.48
120.6815617,31.3159932,2021-12-03 10:22:07,3.09,364.4,2.19,48.38,5.26,0,0.24,928.1,318.96,12.03,11.523,7.87,-77.57
120.6815796,31.3159688,2021-12-03 10:22:09,3.02,364.36,2.21,26.58,2.89,0,0.24,938.69,319,12.06,11.515,7.87,-77.62
120.6815997,31.3159451,2021-12-03 10:22:11,3.1,364.27,2.23,32.27,3.51,0,0.24,948.19,318.97,12.07,11.509,7.87,-77.63
120.6816197,31.3159218,2021-12-03 10:22:13,3.09,364.33,2.21,29.32,3.19,0,0.24,943.13,319.04,12.06,11.506,7.87,-77.6
120.6816383,31.3158976,2021-12-03 10:22:15,3.09,364.38,2.269,14.45,1.57,0,0.24,922.2,319.11,12.06,11.504,7.87,-77.55
120.6816557,31.3158724,2021-12-03 10:22:17,3.17,364.39,2.25,40.24,4.38,0,0.24,928.88,319.12,12.05,11.503,7.87,-77.51
120.681673,31.3158478,2021-12-03 10:22:19,3.14,364.55,2.259,23.58,2.57,0,0.24,935.03,319.27,12.05,11.501,7.87,-77.48
120.681692,31.3158233,2021-12-03 10:22:21,3.13,364.43,2.259,33.63,3.66,0,0.24,933.46,319.2,12.05,11.498,7.87,-77.45
120.6817122,31.3157994,2021-12-03 10:22:23,3.12,364.46,2.299,12.71,1.38,0,0.24,930.35,319.24,12.06,11.496,7.87,-77.43
120.6817336,31.3157767,2021-12-03 10:22:25,3.11,364.32,2.289,26.79,2.92,0,0.24,930.41,319.16,12.06,11.491,7.86,-77.41
120.6817554,31.3157542,2021-12-03 10:22:27,3.05,364.25,2.269,20.76,2.26,0,0.24,941.5,319.14,12.07,11.486,7.86,-77.39
120.6817779,31.3157316,2021-12-03 10:22:29,3.05,364.2,2.259,34.34,3.74,0,0.24,943.24,319.15,12.06,11.479,7.86,-77.37
120.6818008,31.3157097,2021-12-03 10:22:31,3.03,364.04,2.289,32.52,3.54,0,0.24,955.97,319.06,12.05,11.473,7.86,-77.35
120.6818257,31.3156898,2021-12-03 10:22:33,3.03,364.05,2.269,35.44,3.86,0,0.24,967.47,319.11,12.04,11.468,7.86,-77.32
120.6818511,31.3156704,2021-12-03 10:22:35,3.09,363.96,2.259,33.66,3.67,0,0.24,975.46,319.08,12.03,11.462,7.86,-77.3
120.6818749,31.3156499,2021-12-03 10:22:37,3.05,363.81,2.279,13.45,1.47,0,0.24,969.85,318.99,12.01,11.457,7.86,-77.27
120.6818971,31.3156273,2021-12-03 10:22:39,3.06,363.82,2.289,29.82,3.25,0,0.24,968.59,319.04,12,11.453,7.86,-77.24
120.6819168,31.3156038,2021-12-03 10:22:41,3.08,363.77,2.259,31.11,3.39,0,0.24,973.54,319.02,11.99,11.45,7.86,-77.21
120.6819363,31.3155797,2021-12-03 10:22:43,3.07,363.71,2.289,13.73,1.5,0,0.24,973.66,318.98,11.96,11.447,7.86,-77.18
120.6819563,31.3155522,2021-12-03 10:22:45,3.04,363.74,2.289,21.84,2.38,0,0.24,969.6,319.03,11.97,11.445,7.86,-77.16
120.6819739,31.315527,2021-12-03 10:22:47,3.01,363.64,2.289,17.61,1.92,0,0.24,967.23,318.96,11.98,11.442,7.86,-77.13
120.6819931,31.3155027,2021-12-03 10:22:49,3.01,363.7,2.309,23.82,2.6,0,0.24,966.69,319.03,11.98,11.44,7.86,-77.11
120.6820111,31.3154817,2021-12-03 10:22:51,3.06,363.68,2.289,19.3,2.1,0,0.24,956.22,319.01,11.97,11.44,7.86,-77.09
120.6820341,31.315455,2021-12-03 10:22:54,3.08,363.59,2.279,31.09,3.39,0,0.24,943.96,318.94,12,11.44,7.86,-77.07
120.6820549,31.3154319,2021-12-03 10:22:56,3.07,363.65,2.279,12.49,1.36,0,0.24,949.57,318.99,12,11.44,7.86,-77.05
120.6820766,31.3154094,2021-12-03 10:22:58,3.05,363.7,2.279,17.02,1.86,0,0.24,946.01,319.04,12.03,11.439,7.86,-77.04
120.6820976,31.3153863,2021-12-03 10:23:00,3.06,363.61,2.279,12.01,1.31,0,0.24,937.99,318.95,12.03,11.44,7.86,-77.04
120.6821182,31.3153626,2021-12-03 10:23:02,3.03,363.67,2.279,21.85,2.38,0,0.24,929.81,319.01,12.03,11.44,7.86,-77.03
120.6821381,31.3153388,2021-12-03 10:23:04,2.99,363.55,2.23,25.23,2.75,0,0.24,922.59,318.9,12.02,11.44,7.86,-77.04
120.6821581,31.3153153,2021-12-03 10:23:06,2.98,363.62,2.22,23.45,2.56,0,0.24,931.96,318.95,12.01,11.442,7.86,-77.04
120.6821784,31.3152917,2021-12-03 10:23:08,3.02,363.73,2.22,21.45,2.34,0,0.24,933.13,319.03,12.01,11.443,7.86,-77.06
120.6821983,31.3152679,2021-12-03 10:23:10,3.13,363.71,2.279,20.4,2.22,0,0.24,936.37,319.02,12,11.442,7.86,-77.07
120.6822166,31.3152433,2021-12-03 10:23:12,3.18,363.77,2.289,25.54,2.78,0,0.24,944.93,319.08,12,11.441,7.86,-77.1
120.6822315,31.3152169,2021-12-03 10:23:14,3.23,363.78,2.319,27.37,2.98,0,0.24,943.18,319.09,12.01,11.442,7.86,-77.12
120.6822451,31.3151899,2021-12-03 10:23:16,3.19,363.78,2.349,24.23,2.64,0,0.24,945.07,319.08,12.01,11.442,7.86,-77.15
120.6822591,31.3151626,2021-12-03 10:23:18,3.21,363.8,2.38,28.11,3.06,0,0.24,949.03,319.12,12.04,11.44,7.86,-77.18
120.6822739,31.3151361,2021-12-03 10:23:20,3.2,363.81,2.46,21.94,2.39,0,0.24,960.48,319.16,12.04,11.437,7.86,-77.21
120.6822884,31.3151091,2021-12-03 10:23:22,3.19,363.71,2.43,18.6,2.03,0,0.24,965.49,319.08,12.03,11.435,7.86,-77.24
120.6823023,31.3150825,2021-12-03 10:23:24,3.19,363.64,2.48,29.62,3.23,0,0.24,966.9,319.03,12.05,11.434,7.86,-77.27
120.6823146,31.3150552,2021-12-03 10:23:26,3.15,363.67,2.47,37.5,4.09,0,0.24,958.96,319.08,12.06,11.431,7.86,-77.29
120.6823251,31.3150279,2021-12-03 10:23:28,3.12,363.62,2.42,16.17,1.76,0,0.24,951.8,319.04,12.04,11.431,7.86,-77.32
120.6823347,31.3150001,2021-12-03 10:23:30,3.14,363.69,2.44,22.85,2.49,0,0.24,949.25,319.1,12.05,11.432,7.86,-77.36
120.6823445,31.3149726,2021-12-03 10:23:32,3.12,363.63,2.49,19.14,2.09,0,0.24,950.28,319.02,12.06,11.435,7.86,-77.38
120.6823545,31.3149448,2021-12-03 10:23:34,3.16,363.64,2.509,29.2,3.18,0,0.24,966.38,319,12.08,11.438,7.86,-77.42
120.6823642,31.3149173,2021-12-03 10:23:36,3.26,363.77,2.47,20.15,2.2,0,0.24,979.36,319.08,12.11,11.442,7.87,-77.45
120.6823751,31.3148902,2021-12-03 10:23:38,3.33,363.81,2.47,14.28,1.56,0,0.24,970.32,319.08,12.14,11.446,7.87,-77.49
120.6823861,31.3148624,2021-12-03 10:23:40,3.45,363.87,2.47,20.68,2.25,0,0.24,966.68,319.09,12.17,11.452,7.87,-77.54
120.6823981,31.3148353,2021-12-03 10:23:42,3.52,363.87,2.5,31.53,3.44,0,0.24,962.51,319.05,12.2,11.456,7.87,-77.59
120.6824128,31.3148058,2021-12-03 10:23:44,3.52,363.86,2.46,17.03,1.86,0,0.24,971.78,319.01,12.22,11.461,7.87,-77.65
120.6824267,31.314779,2021-12-03 10:23:46,3.54,363.94,2.339,13.73,1.5,0,0.24,972.11,319.03,12.27,11.465,7.87,-77.7
120.6824409,31.3147523,2021-12-03 10:23:48,3.54,363.95,2.299,25.2,2.75,0,0.24,980.32,319,12.33,11.471,7.87,-77.76
120.6824561,31.3147261,2021-12-03 10:23:50,3.51,364.06,2.259,5.47,0.6,0,0.24,969.99,319.06,12.36,11.475,7.87,-77.83
120.6824734,31.3147009,2021-12-03 10:23:52,3.56,364.18,2.23,16.46,1.79,0,0.24,979.33,319.12,12.4,11.482,7.87,-77.89
120.6824917,31.3146768,2021-12-03 10:23:54,3.54,364.24,2.18,12.78,1.39,0,0.24,965.23,319.11,12.43,11.488,7.87,-77.97
120.6825093,31.3146519,2021-12-03 10:23:56,3.54,364.31,2.14,24.98,2.72,0,0.24,957.88,319.12,12.5,11.494,7.88,-78.05
120.682527,31.3146272,2021-12-03 10:23:58,3.57,364.41,2.19,24.25,2.64,0,0.24,965.99,319.16,12.59,11.501,7.88,-78.15
120.6825444,31.314602,2021-12-03 10:24:00,3.59,364.46,2.22,21.45,2.33,0,0.24,970.26,319.15,12.68,11.507,7.88,-78.24
120.6825602,31.3145772,2021-12-03 10:24:02,3.59,364.45,2.22,18.1,1.97,0,0.24,972.44,319.08,12.73,11.515,7.88,-78.31
120.682576,31.3145513,2021-12-03 10:24:04,3.57,364.43,2.23,26.3,2.86,0,0.24,967.78,318.99,12.82,11.523,7.88,-78.39
120.6825922,31.314526,2021-12-03 10:24:06,3.63,364.5,2.22,22.05,2.4,0,0.24,970.98,318.98,12.87,11.532,7.88,-78.48
120.682609,31.3145004,2021-12-03 10:24:08,3.56,364.62,2.22,12.54,1.36,0,0.24,974.6,319.01,12.93,11.541,7.88,-78.58
120.6826249,31.3144751,2021-12-03 10:24:10,3.49,364.64,2.269,24.23,2.63,0,0.24,976.57,318.96,12.97,11.549,7.89,-78.68
120.6826406,31.3144494,2021-12-03 10:24:12,3.51,364.78,2.309,26.11,2.84,0,0.24,981.52,319.01,13,11.558,7.89,-78.77
120.682654,31.3144231,2021-12-03 10:24:14,3.53,364.93,2.319,16.39,1.78,0,0.24,985.73,319.07,13.05,11.567,7.89,-78.87
120.6826654,31.3143958,2021-12-03 10:24:16,3.47,365.17,2.299,37.51,4.08,0,0.24,987.77,319.2,13.08,11.576,7.89,-78.97
120.6826744,31.3143689,2021-12-03 10:24:18,3.52,365.12,2.269,42.33,4.6,0,0.24,991.67,319.09,13.12,11.584,7.89,-79.07
120.6826816,31.3143408,2021-12-03 10:24:20,3.58,365.08,2.289,30.79,3.35,0,0.24,989.98,319,13.18,11.591,7.89,-79.16
120.6826901,31.3143122,2021-12-03 10:24:22,3.6,365.15,2.309,18.32,1.99,0,0.24,994.78,319.01,13.22,11.598,7.9,-79.26
120.6826988,31.314284,2021-12-03 10:24:24,3.62,365.17,2.299,15.43,1.68,0,0.24,995.64,318.97,13.27,11.605,7.9,-79.35
120.6827073,31.3142557,2021-12-03 10:24:26,3.6,365.18,2.359,24.22,2.63,0,0.24,1000,318.93,13.33,11.611,7.9,-79.44
120.6827147,31.3142274,2021-12-03 10:24:28,3.67,365.14,2.339,40.64,4.41,0,0.24,1001.61,318.87,13.39,11.615,7.9,-79.52
120.682722,31.3141994,2021-12-03 10:24:30,3.66,365.15,2.359,32.16,3.49,0,0.24,1000.62,318.84,13.44,11.619,7.9,-79.6
120.6827281,31.3141711,2021-12-03 10:24:32,3.72,365.2,2.39,19.3,2.09,0,0.24,1001.51,318.87,13.49,11.621,7.9,-79.67
120.6827316,31.3141427,2021-12-03 10:24:34,3.69,365.25,2.41,30.11,3.27,0,0.24,1000.44,318.9,13.54,11.623,7.9,-79.74
120.6827322,31.3141142,2021-12-03 10:24:36,3.7,365.25,2.39,25.97,2.82,0,0.24,999.32,318.88,13.6,11.624,7.91,-79.81
120.6827311,31.3140827,2021-12-03 10:24:38,3.68,365.22,2.4,25.27,2.74,0,0.24,1010.35,318.85,13.66,11.625,7.91,-79.87
120.6827291,31.3140537,2021-12-03 10:24:40,3.72,365.3,2.38,26.39,2.86,0,0.24,1006.76,318.92,13.71,11.625,7.91,-79.94
120.682727,31.3140254,2021-12-03 10:24:42,3.7,365.24,2.369,35.8,3.89,0,0.24,994.9,318.84,13.73,11.628,7.91,-80
120.6827249,31.3139964,2021-12-03 10:24:44,3.68,365.2,2.349,20.03,2.17,0,0.24,990.3,318.8,13.75,11.628,7.91,-80.06
120.682722,31.313968,2021-12-03 10:24:46,3.65,365.27,2.359,16.94,1.84,0,0.24,994.6,318.86,13.76,11.629,7.91,-80.12
120.682718,31.3139396,2021-12-03 10:24:48,3.71,365.14,2.309,11.51,1.25,0,0.24,994.89,318.73,13.79,11.631,7.91,-80.18
120.6827137,31.3139106,2021-12-03 10:24:50,3.68,365.16,2.329,39.96,4.34,0,0.24,999.28,318.73,13.79,11.634,7.91,-80.23
120.6827095,31.3138826,2021-12-03 10:24:52,3.7,365.26,2.319,23.22,2.52,0,0.24,1002.33,318.78,13.8,11.637,7.91,-80.28
120.6827058,31.3138539,2021-12-03 10:24:54,3.68,365.19,2.339,34.65,3.76,0,0.24,1002.82,318.7,13.8,11.639,7.92,-80.33
120.6827032,31.3138254,2021-12-03 10:24:56,3.74,365.25,2.319,23.09,2.51,0,0.24,993.42,318.74,13.82,11.642,7.92,-80.38
120.6826994,31.3137974,2021-12-03 10:24:58,3.79,365.29,2.329,30.64,3.32,0,0.24,999.38,318.75,13.85,11.645,7.92,-80.43
120.6826953,31.3137682,2021-12-03 10:25:00,3.84,365.46,2.309,18.85,2.05,0,0.24,1001.8,318.87,13.87,11.649,7.92,-80.48
120.682689,31.3137408,2021-12-03 10:25:02,3.87,365.59,2.299,23.25,2.52,0,0.24,1014.83,318.95,13.88,11.651,7.92,-80.52
120.6826812,31.3137128,2021-12-03 10:25:04,3.93,365.53,2.339,22.23,2.41,0,0.24,1013.88,318.89,13.9,11.653,7.92,-80.57
120.6826724,31.3136865,2021-12-03 10:25:06,3.94,365.61,2.359,25.07,2.72,0,0.24,1013.59,318.94,13.91,11.656,7.92,-80.61
120.6826569,31.3136642,2021-12-03 10:25:08,3.95,365.64,2.359,14.7,1.59,0,0.24,1016.56,318.94,13.91,11.659,7.92,-80.65
